Filename,w,p,p 0.99,min entropy
hybrid40_p30es60.bin,12,0.5295683548202579,0.5308541083974371,0.9136126670236286
hybrid40_p30es70.bin,12,0.5315303783645404,0.532815822557708,0.9082911694102486
hybrid40_p30es90.bin,12,0.5390214682576191,0.5403055475605419,0.888152600045846
hybrid40_p40es0.bin,11,0.5181636998006978,0.5194508567256094,0.9449408272051935
hybrid40_p40es10.bin,11,0.5175766933436268,0.5188639043474674,0.9465719190612079
hybrid40_p40es100.bin,11,0.558082138903528,0.5593614261975629,0.838147326508138
hybrid40_p40es20.bin,12,0.525701308415701,0.5269876134125784,0.9241590424712836
hybrid40_p40es30.bin,12,0.5264063168758025,0.5276925271106001,0.9222305418600577
hybrid40_p40es40.bin,12,0.5276013312159746,0.5288873749518355,0.9189675576093976
hybrid40_p40es50.bin,12,0.5311913742964915,0.532476873371356,0.9092092275714158
hybrid40_p40es60.bin,12,0.5355724268691224,0.5368571707782684,0.897389780267257
hybrid40_p40es70.bin,11,0.5332038652425176,0.5344890291414758,0.9037677592252706
hybrid40_p40es80.bin,12,0.54743056916683,0.5487127686427095,0.8658769469214189
hybrid40_p40es90.bin,11,0.549132040452445,0.5504138140642058,0.8614114162139376
hybrid40_p50es0.bin,11,0.5177116948286431,0.5189988935527431,0.9461966319644607
hybrid40_p50es10.bin,11,0.5182837011207123,0.5195708467713264,0.9446076117505041
hybrid40_p50es100.bin,11,0.5875554631100942,0.5888235688239307,0.7640926756240869
hybrid40_p50es30.bin,12,0.5274293291519498,0.5287153973077992,0.919436753233482
hybrid40_p50es40.bin,11,0.524140765548421,0.5254272705158918,0.9284370142920289
hybrid40_p50es50.bin,11,0.5291668208350292,0.5304526346275488,0.9147041596543861
hybrid40_p50es60.bin,12,0.544319531834382,0.5456024697211228,0.874077920015101
hybrid40_p50es70.bin,11,0.5456660023260256,0.546948626182346,0.8705227650371228
hybrid40_p50es80.bin,11,0.5588461473076204,0.5601252028859524,0.8361787509431826
hybrid40_p50es90.bin,11,0.5738233120564327,0.5750972028125643,0.7981222741976247
hybrid40_p60es0.bin,11,0.5189477084247927,0.5202347903471716,0.9427652131323626
hybrid40_p60es10.bin,11,0.5189127080397884,0.5201997933781679,0.942862268640583
hybrid40_p60es100.bin,11,0.6236248598734586,0.6248728766462407,0.6783653753304637
hybrid40_p60es20.bin,11,0.5192767120438325,0.520563761546633,0.9418532112219071
hybrid40_p60es30.bin,11,0.5223507458582044,0.5236374654358372,0.9333597713536319
hybrid40_p60es40.bin,11,0.5286098147079618,0.5298957115403429,0.9162196432270343
hybrid40_p60es50.bin,11,0.5378709165800823,0.5391552238143534,0.8912274074612787
hybrid40_p60es60.bin,11,0.5497050467555143,0.5509866737587085,0.8599106688944156
hybrid20_p40es50.bin,12,0.5311193734324812,0.5324048840869542,0.9094042888221779
hybrid20_p60es0.bin,11,0.518007698084679,0.5192948695550423,0.9453741226949701
hybrid20_p70es40.bin,11,0.5339738737126108,0.5352589040592504,0.9016912047711538
hybrid20_p80es90.bin,11,0.676016436180798,0.6772219948879552,0.5622992648899623
hybrid30_p0es40.bin,12,0.5253933047196566,0.526679650309162,0.9250023767382282
hybrid30_p20es0.bin,12,0.5257123085477026,0.5269986120857683,0.9241289325307851
hybrid30_p30es40.bin,12,0.5264193170318043,0.5277055254950718,0.9221950051167949
hybrid30_p40es90.bin,11,0.5494800442804871,0.5507617290571911,0.8604997809077087
hybrid30_p60es30.bin,11,0.5222527447801926,0.5235394756292909,0.9336297723493201
hybrid30_p70es80.bin,11,0.6080396884365729,0.6092972673837186,0.7147818248108179
hybrid30_p90es30.bin,11,0.5326268588954478,0.533912120856381,0.9053257934951656
hybrid40_p0es90.bin,12,0.5256893082716992,0.526975614859294,0.9241918903977722
hybrid40_p20es30.bin,12,0.526097313167758,0.5273835652530824,0.9230754813968962
hybrid40_p30es80.bin,12,0.5354194250331004,0.536704196993403,0.8978009249468819
hybrid40_p60es80.bin,11,0.5806163867802546,0.5818875421027506,0.7811877357872581
hybrid40_p60es90.bin,11,0.6012296135257488,0.6024909468756756,0.7309885315459156
hybrid40_p70es0.bin,11,0.5181847000317004,0.5194718549889762,0.9448825089297548
hybrid40_p70es10.bin,11,0.5181376995146947,0.5194248588725725,0.9450130340593818
hybrid40_p70es100.bin,11,0.6664513309646406,0.667665871665435,0.5828017974113002
hybrid40_p70es20.bin,11,0.5200467205139256,0.5213336919562239,0.9397209956527045
hybrid40_p70es30.bin,11,0.5251677768455453,0.5264541512036074,0.92562020221456
hybrid40_p70es40.bin,11,0.5337648714135855,0.5350499383142453,0.9022545446893712
hybrid40_p70es50.bin,11,0.54752102273125,0.5488031993409688,0.8656392029176432
hybrid40_p70es60.bin,11,0.563438197820176,0.5647157959201641,0.8244031087302502
hybrid40_p70es70.bin,11,0.5847874326617593,0.5860567859363718,0.7708876336193291
hybrid40_p70es80.bin,11,0.6100627106898175,0.6113191249921677,0.7100023926631326
hybrid40_p70es90.bin,11,0.635751993271926,0.6369916193515991,0.6506537032526054
hybrid40_p80es0.bin,11,0.5186387050257553,0.519925816887969,0.9436223009462399
hybrid40_p80es10.bin,11,0.5187587063457698,0.5200458066394124,0.9432893906701965
hybrid40_p80es20.bin,11,0.520346723813962,0.5216336640141918,0.9388911169227688
hybrid40_p80es30.bin,11,0.528536813904953,0.5298227215014114,0.9164183797292672
hybrid40_p80es40.bin,11,0.5400359403953443,0.5413198118071373,0.885446904557222
hybrid40_p80es50.bin,11,0.5583581419395613,0.5596373458789784,0.8374358548353127
hybrid40_p80es60.bin,11,0.5797883776721544,0.5810598796205804,0.7832412503965233
hybrid40_p80es70.bin,11,0.6074066814734962,0.6086646201838877,0.7162805860926466
hybrid40_p80es80.bin,11,0.6399030389334283,0.6411395985572346,0.6412895785754378
hybrid40_p80es90.bin,11,0.6759674356417921,0.6771730418161047,0.5624035540406338
hybrid40_p90es0.bin,11,0.5182587008457094,0.5195458488512659,0.9446770252734755
hybrid40_p90es10.bin,11,0.518694705641762,0.5199818121145613,0.943466933231756
hybrid40_p90es100.bin,9,0.7452557073013657,0.7463781203313986,0.42202139989818443
hybrid40_p90es20.bin,11,0.5227407501482516,0.5240274243782881,0.9322857793474562
hybrid40_p90es30.bin,11,0.5320768528453813,0.5333622066725638,0.9068124938038898
hybrid40_p90es40.bin,11,0.5492920422124643,0.550573775059153,0.8609922017958104
hybrid40_p90es50.bin,11,0.5713372847101318,0.5726121150355893,0.8043699004200492
hybrid40_p90es60.bin,11,0.6000336003696041,0.6012955667549542,0.7338537730475779
hybrid40_p90es80.bin,11,0.6758004338047718,0.6770062016416012,0.5627590453757108
hybrid40_p90es90.bin,10,0.7084440844408444,0.7096148279214682,0.4948919387640777
hybrid50_p0es0.bin,12,0.5253533042396509,0.5266396550649269,0.9251119369451861
hybrid50_p0es10.bin,12,0.5251403016836202,0.5264266802500183,0.9256954855844088
hybrid50_p0es100.bin,12,0.5253673044076529,0.5266536534013505,0.925073589923748
hybrid50_p0es20.bin,12,0.5250563006756082,0.5263426901176537,0.9259256825318385
hybrid50_p0es30.bin,12,0.525861310335724,0.5271475940518613,0.9237211417635388
hybrid50_p0es40.bin,12,0.5257563090757089,0.5270426067722683,0.9240084990696635
hybrid50_p0es50.bin,12,0.5258133097597171,0.5270995998739809,0.9238524979822061
hybrid50_p0es60.bin,12,0.5257323087877055,0.5270186096717825,0.9240741887987466
hybrid50_p0es70.bin,12,0.5256873082476989,0.5269736151003408,0.9241973651250982
hybrid50_p0es80.bin,12,0.5258733104797257,0.5271595925944692,0.9236883045826141
hybrid50_p0es90.bin,12,0.5251013012156146,0.5263876848359585,0.9258023581582884
hybrid50_p100es0.bin,10,0.5136631366313663,0.5149506620881673,0.957493881951721
hybrid50_p100es10.bin,10,0.5130711307113072,0.5143586969528481,0.9591532961050253
hybrid50_p100es100.bin,16,0.9970709531352502,0.9972101647674866,0.004030506296913309
hybrid50_p100es20.bin,10,0.5199131991319913,0.5212001836861102,0.9400905025335144
hybrid50_p100es30.bin,10,0.5327383273832739,0.5340235698921055,0.9050246761654831
hybrid50_p100es40.bin,11,0.5589431483746321,0.5602221743139024,0.8359290066202913
hybrid50_p100es50.bin,11,0.5882994712941843,0.5895672346331017,0.7622717464140925
hybrid50_p100es60.bin,10,0.6169561695616956,0.6182084437290221,0.6938347356721464
hybrid50_p100es70.bin,10,0.6557005570055701,0.6569245219138052,0.6062004748968901
hybrid50_p100es80.bin,10,0.7035190351903519,0.7046955146905911,0.5049280633820598
hybrid50_p100es90.bin,9,0.7461477153294379,0.7472688318647013,0.4203007452784389
hybrid50_p10es0.bin,12,0.5252593031116374,0.5265456662084008,0.9253694362757029
hybrid50_p10es10.bin,12,0.5253553042636512,0.5266416548273352,0.925106458736692
hybrid50_p10es100.bin,12,0.5259813117757413,0.527267579444419,0.9233928036744816
hybrid50_p10es30.bin,12,0.525215302583631,0.5265016714087929,0.9254899837135794
hybrid50_p10es40.bin,12,0.5258663103957247,0.5271525934447051,0.9237074595137416
hybrid50_p10es50.bin,12,0.5258963107557291,0.5271825897990522,0.9236253687472363
hybrid50_p10es60.bin,12,0.5257253087037045,0.5270116105169128,0.9240933488680267
hybrid50_p10es70.bin,12,0.5260383124597495,0.5273245724797886,0.9232368693269276
hybrid50_p10es80.bin,12,0.5258003096037153,0.527086601448754,0.9238880756886715
hybrid50_p10es90.bin,12,0.5262093145117741,0.5274955514850497,0.9227691676599942
hybrid50_p20es0.bin,12,0.5254543054516654,0.5267406430406876,0.9248353134835025
hybrid50_p20es10.bin,12,0.5257043084517015,0.5269906130507832,0.9241508306068372
hybrid50_p20es100.bin,12,0.5311993743924928,0.5324848721790757,0.9091875557315048
hybrid50_p20es20.bin,12,0.525437305247663,0.5267236450682624,0.9248818701457489
hybrid50_p20es30.bin,12,0.5255453065436785,0.5268316321617823,0.9245861240217176
hybrid50_p20es40.bin,12,0.5252583030996372,0.5265446663267027,0.9253721758780385
hybrid50_p20es50.bin,12,0.525868310419725,0.5271545932018065,0.9237019866502543
hybrid50_p20es60.bin,12,0.5269343232118785,0.5282204607918286,0.9207879090370545
hybrid50_p20es80.bin,12,0.5282653391840703,0.5295512872107864,0.9171576784289915
hybrid50_p20es90.bin,12,0.5295773549282592,0.5308631071317748,0.91358821149213
hybrid50_p30es0.bin,12,0.5258023096277156,0.5270886012065381,0.9238826021381062
hybrid50_p30es10.bin,12,0.5251273015276183,0.526413681779539,0.9257311088936528
hybrid50_p30es100.bin,11,0.5367489042379466,0.5380334277504643,0.8942322853923373
hybrid50_p30es20.bin,12,0.5253493041916503,0.5266356555400482,0.9251228934247511
hybrid50_p30es30.bin,12,0.5257263087157046,0.5270126103961954,0.9240906116996508
hybrid50_p30es40.bin,12,0.5262803153637844,0.5275665427234912,0.9225750203991591
hybrid50_p30es50.bin,12,0.5273323279879358,0.528618409848,0.9197014252353154
hybrid50_p30es60.bin,12,0.5288183458201499,0.5301042123952668,0.9156520900668746
hybrid50_p30es70.bin,12,0.5321493857926295,0.5334347282372534,0.9066163430680328
hybrid50_p30es80.bin,12,0.5350814209770517,0.5363662544758284,0.8987096220592875
hybrid50_p30es90.bin,12,0.5385464625575507,0.539830637061146,0.8894212383458113
hybrid50_p40es0.bin,11,0.5183517018687206,0.5196388410975675,0.9444188239080469
hybrid50_p40es10.bin,12,0.5257673092077105,0.5270536054423286,0.9239783922794692
hybrid50_p40es20.bin,12,0.5256643079716956,0.5269506178708924,0.9242603259866986
hybrid50_p40es30.bin,12,0.5270233242798914,0.528309449471025,0.9205448803726913
hybrid50_p40es40.bin,12,0.5280003360040321,0.5292863225015857,0.9178797216893503
hybrid50_p40es50.bin,12,0.5309753717044604,0.5322609054375571,0.9097944906804307
hybrid50_p40es60.bin,12,0.5355704268451221,0.5368551711217339,0.8973951539496734
hybrid50_p40es70.bin,12,0.541284495413945,0.542568105047666,0.8821238538323191
hybrid50_p40es80.bin,12,0.5469845638147658,0.5482668722525195,0.8670497901034151
hybrid50_p40es90.bin,11,0.5500810508915598,0.5513625807579143,0.8589267353862486
hybrid50_p50es0.bin,11,0.5184487029357323,0.5197358329628038,0.9441495664653147
hybrid50_p50es10.bin,11,0.518206700273703,0.5194938531672043,0.9448214161287241
hybrid50_p50es100.bin,11,0.5870014570160271,0.5882698157291706,0.7654500817791245
